it-codigo;Custo
70.0191.00302;70,35
15.0191.00013;13,65
15.0191.00010;30,77
70.0191.00303;10,95
15.0195.00329;45,00
70.0077.00355;492,83
70.0077.00356;662,05
70.0049.00334;45,00
70.0049.00335;82,00
70.0195.02957;120,00
70.0655.00074;90,00
70.0655.00075;176,09
80.0545.00005;177,88
80.0545.00006;3485,12
70.0655.00166;345,00
70.0195.01790;173,33
70.0195.02095;262,22
70.0195.02093;337,50
15.0015.00065;67,15
70.0077.00338;545,42
70.0077.00334;167,69
70.0077.00333;285,00
70.0667.00095;145,00
15.0573.00007;720,00
70.0067.00034;3,15
15.0573.00008;180,00
70.0667.00094;110,00
15.0015.00064;191,53
15.0667.00009;130,00
15.0667.00011;70,00
70.0667.00098;28,00
70.0667.00049;360,00
70.0077.00350;144,27
70.0195.03497;360,00
70.0107.00070;2600,00
70.0195.02453;160,00
70.0195.02955;160,00
9999900001;536,92
70.0195.03344;340,00
70.0077.00357;517,26
70.0573.00261;70,00
15.0499.00110;767,45
1000400201;5,08
1000400046;20,40
70.0195.03147;280,00
70.0195.02436;235,00
15.0195.00349;100,00
70.0499.00335;82,00
15.0001.00004;1,46
70.0195.03449;130,00
70.0573.00240;620,00
70.0573.00234;620,00
70.0573.00233;620,00
70.0573.00239;620,00
70.0573.00213;620,00
70.0573.00214;1060,00
70.0195.02217;45,90
70.0195.02428;68,00
70.0195.02175;631,25
70.0195.03571;240,00
70.0195.02919;360,00
70.0195.02915;290,00
15.0049.00004;13,26
70.0195.03746;151,43
70.0195.01824;800,00
70.0195.03605;180,00
80.0087.00029;4,70
80.0015.00067;15,00
70.0195.03855;180,00
70.0195.03851;180,00
70.0195.03853;240,00
15.0015.00037;9,64
80.0015.00053;12,00
80.0015.00049;12,67
70.0107.00212;2600,00
1000100447;2,20
1000100443;3,14
70.0015.00030;37,36
70.0195.03894;110,00
1000100446;3,69
1000400219;2,53
15.0135.00023;43,55
15.0135.00024;12,20
15.0135.00025;12,90
15.0135.00027;15,82
15.0135.00028;16,67
15.0135.00022;52,90
80.0519.00006;210,00
15.0521.00005;7,78
1000400199;4,95
80.0087.00180;37,74
80.0087.00179;9,80
80.0087.00176;3,45
80.0087.00174;3,45
80.0087.00172;4,10
80.0087.00168;6,00
70.0499.00121;2,90
70.0499.00109;2,90
70.0499.00100;2,90
70.0499.00090;2,90
70.0499.00159;9,80
